Year,Team,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,npxG,npxG/Sh,G-xG,np:G-xG,SoTA,Saves,Save%,CS,PSxG,PSxG+/-,PKA,PKsv,PKm,Cmp,Att,Cmp%,Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
2019,Crystal Palace,2022-10-13,18:45,Europa Lg,Group stage,Thu,Away,W,1.0,0.0,no Bodø/Glimt,0.7,0.5,55.0,7922.0,Martin Ødegaard,4-3-3,Irfan Peljto,Match Report,,1.0,9.0,4.0,44.4,0.11,0.25,16.6,1.0,0.0,0.0,0.5,0.06,0.5,0.5,4.0,4.0,100.0,1.0,1.3,1.3,0.0,0.0,1.0,3.0,17.0,17.6,5.0,33.3,36.0,14.0,1.0,7.1,0.0,8.4
2019,Crystal Palace,2022-10-16,14:00,Premier League,Matchweek 11,Sun,Away,W,1.0,0.0,Leeds United,0.5,1.8,53.0,36700.0,Martin Ødegaard,4-3-3,Chris Kavanagh,Match Report,,1.0,25.0,8.0,32.0,0.04,0.13,16.2,2.0,0.0,0.0,2.7,0.11,-1.7,-1.7,1.0,1.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,3.0,7.0,42.9,4.0,22.7,28.0,1.0,0.0,0.0,1.0,24.0
2019,Crystal Palace,2022-10-20,18:00,Europa Lg,Group stage,Thu,Home,W,1.0,0.0,nl PSV Eindhoven,2.7,0.3,62.0,52200.0,Granit Xhaka,4-3-3,Alejandro Hernández,Match Report,,1.0,12.0,3.0,25.0,0.08,0.33,17.2,0.0,0.0,0.0,1.0,0.08,0.0,0.0,3.0,2.0,66.7,0.0,0.7,-0.3,0.0,0.0,0.0,0.0,9.0,0.0,5.0,33.3,35.6,14.0,0.0,0.0,2.0,25.5
2019,Crystal Palace,2022-10-23,14:00,Premier League,Matchweek 13,Sun,Away,D,1.0,1.0,Southampton,1.0,0.7,59.0,31145.0,Martin Ødegaard,4-3-3,Robert Jones,Match Report,,0.0,15.0,3.0,20.0,0.0,0.0,17.3,0.0,0.0,0.0,1.4,0.1,-1.4,-1.4,5.0,3.0,60.0,0.0,1.5,-0.5,0.0,0.0,0.0,5.0,15.0,33.3,7.0,39.4,35.0,6.0,1.0,16.7,1.0,11.7
2019,Crystal Palace,2022-10-27,18:45,Europa Lg,Group stage,Thu,Away,L,0.0,2.0,nl PSV Eindhoven,1.4,0.8,68.0,35000.0,Martin Ødegaard,4-3-3,Marco Di Bello,Match Report,,5.0,24.0,9.0,37.5,0.21,0.56,16.0,1.0,0.0,0.0,2.3,0.1,2.7,2.7,2.0,2.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,1.0,2.0,50.0,7.0,5.6,19.2,11.0,1.0,9.1,0.0,9.0
2019,Crystal Palace,2022-10-30,14:00,Premier League,Matchweek 14,Sun,Home,W,5.0,0.0,Nott'ham Forest,2.3,0.4,69.0,60263.0,Martin Ødegaard,4-3-3,Simon Hooper,Match Report,,1.0,17.0,4.0,23.5,0.06,0.25,15.9,0.0,0.0,0.0,1.6,0.09,-0.6,-0.6,2.0,2.0,100.0,1.0,0.3,0.3,0.0,0.0,0.0,7.0,17.0,41.2,2.0,48.1,41.2,8.0,0.0,0.0,3.0,21.4
2019,Crystal Palace,2022-11-03,20:00,Europa Lg,Group stage,Thu,Home,W,1.0,0.0,ch Zürich,1.6,0.4,55.0,48500.0,Gabriel Jesus,4-3-3,Erik Lambrechts,Match Report,,1.0,14.0,2.0,14.3,0.07,0.5,14.5,0.0,0.0,0.0,2.1,0.16,-1.1,-1.1,1.0,1.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,2.0,9.0,22.2,4.0,28.6,32.3,10.0,0.0,0.0,2.0,24.5
2019,Crystal Palace,2022-11-06,12:00,Premier League,Matchweek 15,Sun,Away,W,1.0,0.0,Chelsea,2.1,0.3,55.0,40142.0,Martin Ødegaard,4-3-3,Michael Oliver,Match Report,,1.0,23.0,4.0,17.4,0.04,0.25,,,0.0,0.0,,,,,3.0,1.0,33.3,0.0,,,1.0,0.0,0.0,,,,,,,,,,,
2019,Crystal Palace,2022-11-09,19:45,EFL Cup,Third round,Wed,Home,L,1.0,3.0,Brighton,,,57.0,59233.0,Rob Holding,4-2-3-1,Jarred Gillett,Match Report,,2.0,14.0,3.0,21.4,0.14,0.67,13.7,0.0,0.0,0.0,2.1,0.15,-0.1,-0.1,2.0,2.0,100.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,6.0,0.0,7.0,13.6,24.7,11.0,1.0,9.1,1.0,12.3
2019,Crystal Palace,2022-11-12,19:45,Premier League,Matchweek 16,Sat,Away,W,2.0,0.0,Wolves,2.1,0.7,62.0,34624.0,Martin Ødegaard,4-3-3,Stuart Attwell,Match Report,,3.0,16.0,5.0,31.3,0.19,0.6,18.2,1.0,0.0,0.0,2.1,0.14,0.9,0.9,4.0,3.0,100.0,0.0,1.3,0.3,1.0,0.0,0.0,2.0,6.0,33.3,4.0,25.0,27.5,10.0,0.0,0.0,2.0,19.2
